Player,BUF at DET,WAS at NYG,DEN at BAL,PIT at ATL,NYJ at MIN,CLE at HOU,JAX at DET,GB at CHI,TEN at PHI,SEA at LAR,MIA at SF,KC at CIN,LAC at LV,IND at DAL,NO at TB
Winner,BUF,TIE,BAL,PIT,MIN,CLE,DET,GB,PHI,SEA,SF,CIN,LV,DAL,TB
Away Team,BUF,WAS,DEN,PIT,NYJ,CLE,JAX,GB,TEN,SEA,MIA,KC,LAC,IND,NO
Home Team,NE,NYG,BAL,ATL,MIN,HOU,DET,CHI,PHI,LAR,SF,CIN,LV,DAL,TB
Spread,3.5,2.5,-8.5,-1,-3,7,1,4.5,-5.5,7.5,-4,1.5,1.5,-11,-4
abfarias,BUF,NYG,BAL,ATL,MIN,CLE,DET,GB,PHI,SEA,MIA,KC,LAC,DAL,TB
,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2
Bob Z,BUF,NYG,BAL,ATL,NYJ,CLE,DET,CHI,TEN,SEA,SF,KC,LAC,DAL,TB
,8,4,15,11,5,13,2,10,3,14,6,12,7,16,9
Ellieisawesome1,BUF,NYG,BAL,PIT,MIN,CLE,DET,GB,PHI,LAR,SF,KC,LAC,DAL,TB
,14,3,15,4,9,10,5,11,13,2,6,12,7,16,8
JJapcon,NE,NYG,BAL,ATL,MIN,HOU,DET,CHI,PHI,LAR,SF,CIN,LV,DAL,TB
,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Kathy Zwartz,NE,NYG,BAL,ATL,MIN,CLE,DET,CHI,PHI,SEA,MIA,KC,LAC,DAL,TB
,2,4,15,14,13,12,11,3,10,9,5,8,7,16,6
Ken,BUF,NYG,BAL,ATL,MIN,CLE,JAX,CHI,TEN,SEA,MIA,KC,LAC,DAL,TB
,10,2,15,5,13,12,11,3,6,16,8,7,9,14,4
Lindsey,BUF,WAS,BAL,PIT,NYJ,CLE,DET,GB,PHI,SEA,SF,CIN,LAC,DAL,TB
,12,3,16,4,7,11,10,6,8,13,9,2,5,15,14
Lizzy_Z,BUF,NYG,BAL,PIT,MIN,HOU,DET,CHI,PHI,LAR,MIA,CIN,LAC,DAL,TB
,5,16,15,14,13,12,2,11,10,9,7,8,6,4,3
Matt McKenna,BUF,NYG,BAL,ATL,MIN,CLE,JAX,CHI,PHI,SEA,SF,KC,LAC,DAL,TB
,12,7,14,2,16,13,10,8,9,6,5,11,3,15,4
MattWojtanek,BUF,WAS,BAL,PIT,MIN,CLE,DET,GB,PHI,SEA,SF,CIN,LV,DAL,TB
,3,11,16,12,14,10,8,13,7,6,4,2,5,15,9
Michael Zwartz,NE,WAS,BAL,ATL,MIN,CLE,DET,CHI,PHI,SEA,SF,CIN,LV,DAL,TB
,2,3,15,5,13,14,7,4,12,10,9,6,8,16,11
PBW,BUF,NYG,BAL,ATL,MIN,CLE,DET,GB,PHI,SEA,MIA,KC,LAC,DAL,TB
,3,10,13,4,11,12,2,6,9,15,5,7,8,14,16
Shaner,NE,NYG,BAL,ATL,MIN,HOU,DET,CHI,PHI,LAR,SF,CIN,LV,DAL,TB
,2,3,5,4,6,7,8,9,10,11,12,14,13,15,16
TAZ,NE,NYG,BAL,PIT,MIN,HOU,DET,CHI,PHI,SEA,SF,KC,LAC,DAL,TB
,7,3,16,12,10,5,14,2,15,6,8,9,11,13,4
taz7611,NE,NYG,BAL,ATL,MIN,CLE,DET,CHI,PHI,SEA,SF,CIN,LAC,DAL,TB
,8,12,13,3,4,11,14,2,16,10,5,7,6,15,9
Team Boylan,BUF,NYG,BAL,PIT,MIN,CLE,JAX,GB,PHI,SEA,MIA,KC,LAC,DAL,TB
,13,8,12,4,10,15,6,3,14,7,5,2,11,16,9
UrBoiJZ,BUF,NYG,BAL,ATL,MIN,CLE,JAX,CHI,PHI,SEA,SF,KC,LV,DAL,TB
,10,4,12,13,14,9,6,2,16,5,7,3,8,15,11
Wild Bill,BUF,WAS,BAL,ATL,MIN,CLE,JAX,GB,PHI,SEA,SF,KC,LAC,DAL,TB
,16,4,15,5,14,2,6,9,10,8,3,13,7,12,11
Zapp,BUF,NYG,BAL,PIT,MIN,CLE,DET,GB,PHI,SEA,SF,KC,LAC,DAL,TB
,8,9,16,5,7,15,11,12,6,10,2,4,3,14,13
